Crate Name,Severity Label,On lib.rs
multihash-0.11.2,MEDIUM_SEVERITY,Yes
compact_arena-0.3.2,CRITICAL,Yes
os_socketaddr-0.2.1,MEDIUM_SEVERITY,Yes
routing-0.37.1,UNKNOWN,Yes
shamir-1.0.2,CRITICAL,Yes
rustls-webpki-0.100.1,SAFE,Yes
cosmos_sdk-0.99.0,SAFE,Yes
claim-0.5.0,SAFE,Yes
gix-index-0.32.1,UNKNOWN,Yes
rand_core-0.6.1,SAFE,Yes
parity-wasm-0.45.0,LOW_SEVERITY,Yes
chrono-0.4.19,LOW_SEVERITY,Yes
wasmtime-1.0.1,LOW_SEVERITY,Yes
libpulse-binding-2.5.0,LOW_SEVERITY,Yes
molecule-0.7.1,HIGH_SEVERITY,Yes
ouroboros-0.15.6,LOW_SEVERITY,Yes
compu-brotli-sys-0.1.3,CRITICAL,Yes
lucet-runtime-internals-0.4.3,LOW_SEVERITY,Yes
nb-connect-1.0.2,MEDIUM_SEVERITY,Yes
websocket-0.26.4,LOW_SEVERITY,Yes
tui-0.19.0,LOW_SEVERITY,Yes
bitvec-0.17.3,LOW_SEVERITY,Yes
safemem-0.3.3,SAFE,Yes
arrayfire-3.5.0,MEDIUM_SEVERITY,Yes
aliyun-oss-client-0.8.0,HIGH_SEVERITY,Yes
security-framework-0.1.11,MEDIUM_SEVERITY,Yes
webpki-0.22.1,MEDIUM_SEVERITY,Yes
gtk-sys-0.18.2,LOW_SEVERITY,Yes
gdkwayland-sys-0.18.2,LOW_SEVERITY,Yes
sodiumoxide-0.2.4,MEDIUM_SEVERITY,Yes
cargo-0.86.0,LOW_SEVERITY,Yes
crossbeam-channel-0.4.3,LOW_SEVERITY,Yes
miscreant-0.99.0,SAFE,Yes
gdkx11-sys-0.18.2,LOW_SEVERITY,Yes
zip_next-1.1.1,MEDIUM_SEVERITY,Yes
humantime-2.2.0,SAFE,Yes
prettytable-rs-0.9.0,LOW_SEVERITY,Yes
calamine-0.16.2,LOW_SEVERITY,Yes
ftp-3.0.1,MEDIUM_SEVERITY,Yes
warp-0.3.2,LOW_SEVERITY,Yes
multiqueue-0.3.2,CRITICAL,Yes
lexical-core-0.8.5,SAFE,Yes
pancurses-0.17.0,HIGH_SEVERITY,Yes
office-0.8.2,LOW_SEVERITY,Yes
streebog-0.7.0,LOW_SEVERITY,Yes
linea-0.9.3,HIGH_SEVERITY,Yes
adtensor-0.0.3,CRITICAL,Yes
pprof-0.13.0,LOW_SEVERITY,Yes
fake_clock-0.3.1,SAFE,Yes
encoding-0.2.33,LOW_SEVERITY,Yes
twoway-0.2.2,LOW_SEVERITY,Yes
once_cell-1.0.0,LOW_SEVERITY,Yes
lz4-sys-1.9.3,MEDIUM_SEVERITY,Yes
juniper-0.15.9,LOW_SEVERITY,Yes
cache-0.2.0,CRITICAL,Yes
quic-p2p-0.7.1,HIGH_SEVERITY,Yes
gfwx-0.2.0,CRITICAL,Yes
alg_ds-0.3.1,CRITICAL,Yes
quickersort-3.0.1,MEDIUM_SEVERITY,Yes
quinn-0.5.3,LOW_SEVERITY,Yes
miow-0.2.1,MEDIUM_SEVERITY,Yes
zeroize_derive-1.1.0,MEDIUM_SEVERITY,Yes
unicycle-0.7.0,HIGH_SEVERITY,Yes
gtk-0.18.2,LOW_SEVERITY,Yes
stream-cipher-0.99.99,SAFE,Yes
conrod-0.62.1,SAFE,Yes
gix-path-0.10.10,LOW_SEVERITY,Yes
kekbit-0.3.3,CRITICAL,Yes
aes-ctr-0.99.99,SAFE,Yes
thread_local-1.1.3,MEDIUM_SEVERITY,Yes
disrustor-0.4.0,CRITICAL,Yes
mio-0.8.10,LOW_SEVERITY,Yes
rustsec-example-crate-0.0.1,SAFE,Yes
git2-0.15.0,LOW_SEVERITY,Yes
heapless-0.6.0,LOW_SEVERITY,Yes
array-tools-0.3.1,CRITICAL,Yes
rocksdb-0.18.0,LOW_SEVERITY,Yes
serial-0.4.0,MEDIUM_SEVERITY,Yes
bzip2-0.4.3,MEDIUM_SEVERITY,Yes
atk-sys-0.18.2,LOW_SEVERITY,Yes
tokio-rustls-0.12.2,MEDIUM_SEVERITY,Yes
instant-0.1.13,SAFE,Yes
glsl-layout-0.3.2,HIGH_SEVERITY,Yes
